#structure	resolution	length	predicted_missing_bps	filtered_missing_bps	unpaired_fraction
8fl0	2.91	1678	74	26	0.0155
6n8n	3.8	3482	352	234	0.0672
6fai	3.4	1775	54	40	0.0225
5juo	4.0	5495	429	228	0.0415
5zwn	3.4	499	16	10	0.02
7uo0	3.4	455	62	28	0.0615
7ygd	3.41	389	10	4	0.0103
8why	2.7	3134	86	50	0.016
8e44	2.53	3016	131	58	0.0192
7oiz	2.9	4472	157	76	0.017
7syl	4.5	1859	139	74	0.0398
7of4	2.7	1520	37	14	0.0092
7m5d	2.8	4648	161	86	0.0185
6yam	3.6	1863	116	40	0.0215
8rdw	2.74	4347	118	66	0.0152
8tjx	2.44	365	16	6	0.0164
6vwm	3.4	4580	195	110	0.024
6zvk	3.49	6218	558	260	0.0418
8hl4	4.62	4694	196	126	0.0268
6y69	2.86	4620	175	92	0.0199
7aso	3.11	4247	960	712	0.1676
7ow7	2.4	3571	146	50	0.014
8evr	2.87	5448	349	196	0.036
7uo2	3.1	271	24	14	0.0517
6zsd	3.7	2645	85	44	0.0166
8uu6	3.3	4614	186	100	0.0217
7jt2	3.5	4660	216	124	0.0266
3jcn	4.6	4638	268	186	0.0401
8rcs	4.46	6402	278	154	0.0241
6fyx	3.5	1872	124	78	0.0417
7wto	3.5	1200	32	14	0.0117
7pd3	3.4	1343	105	60	0.0447
6w7m	3.8	1512	83	60	0.0397
7ygb	2.62	407	10	4	0.0098
7v2p	3.3	1394	36	22	0.0158
6wnv	3.5	4564	226	128	0.028
6rw5	3.14	955	26	22	0.023
7ttu	3.0	2795	232	186	0.0665
8ony	2.92	214	32	8	0.0374
6zxf	3.7	1656	74	32	0.0193
5uyl	3.6	4810	192	100	0.0208
6cb1	4.6	1615	86	32	0.0198
7r7a	3.04	2816	202	88	0.0312
7zq5	2.7	3018	163	102	0.0338
8ekc	2.7	4655	195	108	0.0232
5oa3	4.3	1922	95	44	0.0229
7y7f	2.43	4557	152	68	0.0149
6xz7	2.1	3169	98	58	0.0183
8agu	2.7	3568	142	46	0.0129
7ez2	3.05	406	16	6	0.0148
6exn	3.7	468	24	10	0.0214
6gxo	3.9	4643	234	158	0.034
7oj0	3.5	4525	148	72	0.0159
8cdu	3.1	1340	60	36	0.0269
7ls1	3.3	5781	403	214	0.037
8g2u	3.0	4559	268	154	0.0338
7w5b	4.3	391	46	2	0.0051
7wtr	3.5	1298	28	16	0.0123
7nfx	3.2	4017	282	118	0.0294
6zoj	2.8	1704	76	38	0.0223
7trd	3.3	224	18	8	0.0357
7jqc	3.3	1840	167	106	0.0576
6gz3	3.6	5760	358	184	0.0319
7s1g	2.48	4638	231	124	0.0267
7boi	2.98	1078	19	8	0.0074
7oie	3.5	1528	63	20	0.0131
8qo9	5.29	479	44	18	0.0376
7qwr	2.9	3768	232	84	0.0223
6gxm	3.8	4639	240	158	0.0341
6xyw	3.86	4703	316	174	0.037
8hfr	2.64	3542	228	124	0.035
6wdg	3.3	4733	234	134	0.0283
5gmk	3.4	404	22	6	0.0149
7l08	3.49	2525	97	52	0.0206
7ygc	2.65	407	12	4	0.0098
5jus	4.2	5424	420	192	0.0354
6bk8	3.3	433	36	16	0.037
5mdz	3.1	4638	171	104	0.0224
7re3	3.33	142	0	0	0.0
8bd6	4.1	313	32	26	0.0831
6zmi	2.6	5790	330	134	0.0231
7v59	5.26	326	14	14	0.0429
7naf	3.13	378	50	14	0.037
3jan	3.75	5935	606	366	0.0617
7m4u	2.71	1528	68	40	0.0262
7pzy	2.32	5196	269	136	0.0262
8e41	2.13	3016	109	52	0.0172
7xnx	2.7	5790	337	140	0.0242
7qep	2.7	3734	218	142	0.038
6wdf	3.3	4733	220	116	0.0245
6pch	2.9	3015	170	106	0.0352
6ybw	3.1	1217	90	60	0.0493
6r6p	3.1	5795	336	136	0.0235
8i9v	3.1	2408	130	50	0.0208
7uvz	2.21	4453	126	68	0.0153
7nql	3.4	2648	72	40	0.0151
5ylz	3.6	373	46	6	0.0161
5juu	4.0	5482	375	160	0.0292
7q4k	3.0	4711	166	84	0.0178
7wtt	3.1	1575	52	20	0.0127
7s1h	2.35	4556	184	98	0.0215
7zjw	2.8	6128	423	238	0.0388
7y7d	2.58	4557	154	72	0.0158
8hl5	5.72	4763	218	130	0.0273
8bjq	3.8	3580	211	98	0.0274
6ftj	4.7	3936	248	98	0.0249
6wd1	3.3	4657	226	126	0.0271
7oic	3.1	1439	47	10	0.0069
7qgn	3.37	4695	221	120	0.0256
8v9j	3.1	4779	202	108	0.0226
7qgr	5.7	4746	217	98	0.0206
6bu8	3.5	4810	216	118	0.0245
7zjx	3.1	5987	407	234	0.0391
7afo	3.93	971	30	12	0.0124
7v08	2.36	3323	152	60	0.0181
8i9x	2.8	2914	141	54	0.0185
8onz	2.94	329	16	12	0.0365
6lss	3.23	3750	238	108	0.0288
6yxx	3.9	806	214	58	0.072
7oya	3.2	5130	409	232	0.0452
7n2u	2.53	4719	157	74	0.0157
7pnu	3.06	941	24	14	0.0149
7uvt	3.9	386	24	14	0.0363
6wlr	4.8	119	6	4	0.0336
6zn5	3.2	1671	58	28	0.0168
7oe0	2.69	1510	40	24	0.0159
7v99	3.54	249	34	24	0.0964
7qdu	5.14	552	6	6	0.0109
7xht	2.55	220	6	4	0.0182
7ych	3.09	405	12	6	0.0148
6enu	3.1	4613	261	168	0.0364
8cgi	1.89	460	12	8	0.0174
6qul	3.0	2919	107	44	0.0151
7oht	4.7	1618	188	104	0.0643
8ois	3.0	1033	34	24	0.0232
7wb1	3.7	178	4	2	0.0112
7lmb	3.8	162	4	4	0.0247
6rja	3.0	194	16	16	0.0825
7c79	2.5	331	76	62	0.1873
7lhd	4.6	4217	282	224	0.0531
5opt	4.0	2022	166	78	0.0386
5x8t	3.3	3028	136	70	0.0231
3jaq	6.0	1843	150	86	0.0467
8idt	2.8	3800	292	146	0.0384
7po0	2.9	951	18	16	0.0168
6w7n	3.4	1372	124	100	0.0729
7v2o	3.5	1487	76	54	0.0363
5mps	3.85	339	2	2	0.0059
7wju	2.69	158	2	0	0.0
7asn	2.73	2847	298	248	0.0871
6ztm	3.3	4797	178	84	0.0175
7ase	3.33	2226	178	104	0.0467
8e36	2.38	3015	116	58	0.0192
8t2t	3.0	546	14	10	0.0183
8c97	4.07	1292	65	44	0.0341
7ohu	3.7	1840	116	54	0.0293
7n8b	3.05	5204	333	156	0.03
7azy	2.877	3440	144	62	0.018
6z6j	3.4	5105	209	88	0.0172
7xsl	3.84	388	10	4	0.0103
7sam	4.3	169	4	4	0.0237
8i9w	3.1	2419	111	44	0.0182
7o9k	3.1	1496	61	20	0.0134
8j1j	2.91	151	4	4	0.0265
6ywv	3.03	2529	123	58	0.0229
8csz	3.2	236	6	2	0.0085
6g5h	3.6	1665	56	24	0.0144
8d2k	2.43	155	2	2	0.0129
7syg	4.3	1859	140	74	0.0398
8fvy	2.94	1515	68	28	0.0185
8oou	2.9	140	0	0	0.0
7ls2	3.1	5781	356	184	0.0318
6ah0	5.7	452	22	6	0.0133
8bd5	3.3	328	10	2	0.0061
8oiq	3.5	1718	120	78	0.0454
5t7v	3.6	4375	802	692	0.1582
6zxd	3.2	1645	76	40	0.0243
7yci	2.98	396	14	6	0.0152
6gc4	4.3	2705	159	106	0.0392
8c6j	2.8	459	60	12	0.0261
6rbe	3.8	1750	102	50	0.0286
5no3	5.16	1534	59	42	0.0274
7wtl	3.3	1102	30	14	0.0127
6j6q	3.7	549	50	12	0.0219
6q8y	3.1	5375	305	134	0.0249
7zpq	3.47	5310	272	122	0.023
8e5t	4.0	968	42	16	0.0165
7o1a	2.4	4637	154	70	0.0151
6tc3	2.7	4634	156	74	0.016
6wnt	3.1	3025	128	82	0.0271
8c99	3.29	944	32	22	0.0233
6ahu	3.66	413	52	22	0.0533
8uua	2.7	3008	74	34	0.0113
7nav	4.8	1510	56	30	0.0199
8oz0	3.5	1816	161	88	0.0485
5nco	4.8	3110	141	78	0.0251
8aaf	2.5	3642	142	44	0.0121
8civ	2.47	5256	251	112	0.0213
7qiz	2.38	4980	247	132	0.0265
6o90	3.49	4546	282	180	0.0396
8c95	4.92	1338	48	26	0.0194
7r6m	3.68	362	20	14	0.0387
7k00	1.98	4555	147	62	0.0136
7ptq	4.08	544	0	0	0.0
8e30	1.91	3016	109	46	0.0153
8fl7	2.55	3683	183	68	0.0185
6gzq	3.28	4536	594	456	0.1005
7pjw	4.0	4727	178	86	0.0182
6oli	3.5	5749	404	220	0.0383
8btd	4.9	4466	342	194	0.0434
7bod	2.88	1078	27	16	0.0148
5zwm	3.4	627	20	2	0.0032
8i9t	3.6	2388	104	32	0.0134
7uw1	2.21	4369	122	62	0.0142
8hr5	3.73	123	10	8	0.065
7l20	3.15	1582	61	32	0.0202
8cai	2.08	1114	27	16	0.0144
5wfs	3.0	4802	285	200	0.0416
8qfd	2.2	3393	137	52	0.0153
7qtt	3.1	339	26	8	0.0236
7bl6	4.0	3016	114	62	0.0206
7m4v	2.54	2847	74	44	0.0155
7xsm	4.01	388	12	6	0.0155
5tc1	3.6	242	48	40	0.1653
8qpp	3.4	4642	270	144	0.031
8bhl	2.21	4499	282	176	0.0391
6g90	4.0	473	14	6	0.0127
6i0y	3.2	3049	110	48	0.0157
3jap	4.9	1855	178	114	0.0615
6m62	3.2	3316	229	116	0.035
6zu5	2.9	3910	140	62	0.0159
6spb	2.82	3001	156	82	0.0273
5o60	3.2	3240	106	54	0.0167
5mmi	3.25	3027	96	64	0.0211
8g7p	2.9	4789	210	126	0.0263
6neq	3.32	952	61	40	0.042
8btz	5.39	238	0	0	0.0
6ofx	3.3	4659	232	136	0.0292
7lvk	2.2	3016	109	64	0.0212
6zlw	2.6	1665	42	18	0.0108
6ylx	3.9	2757	185	86	0.0312
6wd8	3.7	4810	252	160	0.0333
5we4	3.1	4802	253	172	0.0358
8fku	2.82	2406	126	60	0.0249
7pla	3.04	244	2	2	0.0082
6lqu	3.7	1940	206	96	0.0495
8agt	2.6	3642	142	44	0.0121
7zhg	2.25	1533	49	24	0.0157
8flf	2.65	3599	179	68	0.0189
8hl3	4.8	4775	224	122	0.0255
7taw	2.7	158	53	6	0.038
5o61	3.31	4830	182	94	0.0195
8om2	2.57	1486	49	30	0.0202
6w6p	2.9	4378	203	118	0.027
5gap	3.6	143	6	4	0.028
5t5h	2.54	2884	130	54	0.0187
8ipa	3.4	5204	297	142	0.0273
5it7	3.6	5497	344	176	0.032
7bgd	3.2	1128	50	24	0.0213
7sc6	5.51	169	4	4	0.0237
7sfr	2.6	4752	223	120	0.0253
7l48	3.9	144	2	2	0.0139
7qgg	2.86	5831	458	258	0.0442
7ug7	2.58	4700	146	68	0.0145
8e3o	1.99	3015	127	60	0.0199
8wic	3.5	3215	94	52	0.0162
6zym	3.4	233	6	6	0.0258
6ztp	3.0	4793	172	84	0.0175
7nsi	4.6	2647	94	54	0.0204
6nf8	3.48	952	118	80	0.084
8uu4	3.0	4533	152	68	0.015
7qv1	3.5	4635	216	116	0.025
8hl2	4.1	4775	216	140	0.0293
7elh	3.3	310	14	14	0.0452
8bip	3.1	3580	211	102	0.0285
7bog	2.75	1071	22	8	0.0075
7pua	3.6	422	90	26	0.0616
6s0z	2.3	3017	198	120	0.0398
7u0h	2.76	2939	158	66	0.0225
6fyy	3.02	1872	122	76	0.0406
6z1p	3.7	4096	381	218	0.0532
6zse	5.0	2645	77	32	0.0121
8bsi	3.4	4385	300	134	0.0306
6wd5	3.6	4810	246	144	0.0299
7n30	2.66	4710	158	76	0.0161
7w0d	4.18	104	4	4	0.0385
7p48	2.9	4328	312	206	0.0476
7zp8	2.2	3095	172	100	0.0323
6ylh	3.1	3310	190	86	0.026
8a98	2.46	5156	349	186	0.0361
7r6n	4.1	354	12	8	0.0226
5lks	3.6	5715	1250	834	0.1459
8gap	3.8	173	20	6	0.0347
6zvi	3.0	1946	144	78	0.0401
7oi6	5.7	1264	57	14	0.0111
6wub	3.2	1121	40	20	0.0178
8sa6	5.3	362	30	30	0.0829
8hky	4.45	4848	220	132	0.0272
8i9z	2.7	3043	142	46	0.0151
7k5i	2.9	1665	58	28	0.0168
7n31	2.69	4721	168	82	0.0174
7ohv	3.9	2361	156	82	0.0347
6orl	3.5	4642	170	108	0.0233
5kpv	4.1	4812	190	90	0.0187
6wd6	3.7	4810	252	150	0.0312
6osq	3.5	4642	213	152	0.0327
6w2t	3.36	2036	174	90	0.0442
6zol	2.8	472	31	14	0.0297
8v9l	3.0	4780	202	106	0.0222
7z34	3.8	3625	347	208	0.0574
7mt2	2.76	4835	334	240	0.0496
6ysr	3.1	4653	163	90	0.0193
8bqd	3.9	5349	249	124	0.0232
7t3l	3.6	198	52	4	0.0202
6ogg	4.2	4655	310	202	0.0434
8cdr	2.04	5242	243	102	0.0195
7d5t	6.0	1399	135	56	0.04
8i7n	2.98	419	14	10	0.0239
8g7q	3.1	4787	230	138	0.0288
6ah3	3.48	449	22	8	0.0178
8hl1	3.93	4775	238	134	0.0281
7uim	3.1	541	12	8	0.0148
8pv2	2.63	3328	144	50	0.015
6t4q	2.6	5400	246	104	0.0193
8ewc	2.45	5451	389	202	0.0371
7syj	4.8	1859	154	82	0.0441
7zs5	3.2	3603	177	72	0.02
7wm4	3.2	162	18	20	0.1235
5wfk	3.4	4802	279	196	0.0408
6ywx	3.1	4334	251	140	0.0323
8h1c	4.5	144	8	4	0.0278
7s0s	3.05	3236	100	56	0.0173
7r6k	3.17	152	14	6	0.0395
7pjt	6.0	4726	234	136	0.0288
6vwn	3.4	4580	189	108	0.0236
8eub	2.52	5452	329	176	0.0323
7oif	3.0	4651	139	72	0.0155
6qx9	3.28	565	22	10	0.0177
5jte	3.6	4786	209	112	0.0234
6lqq	4.1	1873	186	86	0.0459
6zm5	2.89	2717	103	54	0.0199
8v9k	3.1	4787	198	100	0.0209
6d6v	4.8	175	8	2	0.0114
5x8p	3.4	4508	197	96	0.0213
7p7u	3.1	4549	138	62	0.0136
8rdv	2.6	4410	120	62	0.0141
6zsg	4.0	2722	85	40	0.0147
7a1g	3.0	1771	90	52	0.0294
7uoo	2.34	3328	150	56	0.0168
5ool	3.06	1497	47	12	0.008
7a5i	3.7	2697	119	54	0.02
6skf	2.95	4517	194	128	0.0283
5u9g	3.2	4727	236	140	0.0296
5njt	3.8	4579	184	102	0.0223
6tmf	2.8	1487	40	22	0.0148
5gag	3.8	3049	135	68	0.0223
5gam	3.7	166	6	6	0.0361
8peg	3.3	4825	174	100	0.0207
6zon	3.0	1721	90	46	0.0267
6wqq	3.1	2809	296	232	0.0826
5no4	5.16	1534	69	44	0.0287
8pkl	3.09	4812	172	82	0.017
7b0y	3.6	274	26	16	0.0584
6ys3	2.58	3081	192	114	0.037
8i9y	3.1	2865	130	46	0.0161
6tb3	2.8	5351	232	102	0.0191
5we6	3.4	4801	295	212	0.0442
8rd8	2.62	4323	110	66	0.0153
7yc8	4.14	389	6	2	0.0051
8c96	4.43	1475	52	30	0.0203
8pva	4.5	4555	147	62	0.0136
7msm	2.79	4836	312	214	0.0443
6wnw	3.2	4733	188	94	0.0199
7xny	2.5	5715	329	146	0.0255
7obr	2.8	4017	264	108	0.0269
7aju	3.8	1724	106	60	0.0348
7vpx	3.0	319	20	18	0.0564
7pjy	3.1	4726	207	110	0.0233
6qt0	3.4	3441	214	108	0.0314
7d5s	4.6	1557	162	66	0.0424
7s9u	3.2	2436	180	122	0.0501
6v39	3.04	4615	244	162	0.0351
5m1j	3.3	5443	429	254	0.0467
6rm3	3.4	3662	405	268	0.0732
5oom	3.03	1148	37	12	0.0105
6spg	3.34	4526	312	224	0.0495
8bge	2.11	4499	258	156	0.0347
6hiz	3.08	143	80	0	0.0
6rbd	3.47	1777	76	46	0.0259
8c92	3.79	1873	64	38	0.0203
7t3k	3.5	120	51	4	0.0333
8ewb	2.87	5412	327	170	0.0314
8hkv	4.94	3111	145	86	0.0276
8e45	2.3	3015	162	104	0.0345
6skg	2.65	4522	142	80	0.0177
7afl	4.2	1054	30	10	0.0095
8fru	2.49	2809	147	72	0.0256
6gc6	4.3	2092	131	92	0.044
6zmo	3.1	5877	338	148	0.0252
7xd3	4.05	423	18	8	0.0189
6n8j	3.5	3326	270	170	0.0511
8ja0	3.52	115	2	2	0.0174
7as8	2.9	2997	112	54	0.018
7utn	2.74	228	12	8	0.0351
8g7s	3.1	4705	215	122	0.0259
6hma	2.65	2948	125	78	0.0265
7aav	4.2	181	0	0	0.0
8fiz	3.8	4643	298	192	0.0414
7r81	2.7	5339	296	152	0.0285
7wb0	3.2	175	16	10	0.0571
8fmw	2.86	4646	245	184	0.0396
7kgb	2.7	4829	231	132	0.0273
6zqd	3.8	1713	80	40	0.0234
6ri5	3.3	3424	170	84	0.0245
6ztl	3.5	4799	166	82	0.0171
6y0g	3.2	5786	440	222	0.0384
8g60	2.54	5729	257	110	0.0192
7sae	3.0	2434	116	72	0.0296
8d8j	3.8	1183	31	20	0.0169
8ceu	1.83	2872	64	30	0.0104
6pj6	2.2	3016	123	84	0.0279
7jil	2.8	4327	180	124	0.0287
6n7r	3.2	621	6	4	0.0064
7yr7	3.8	118	8	4	0.0339
3jcj	3.7	4594	430	312	0.0679
5jut	4.0	5495	410	186	0.0338
8pk0	3.03	1495	53	28	0.0187
6hix	3.39	591	156	24	0.0406
7of1	3.1	2988	160	62	0.0207
8a3w	2.89	4838	314	154	0.0318
6v3b	2.91	4535	232	150	0.0331
6ysi	2.5	2800	56	28	0.01
7pnt	3.19	909	32	22	0.0242
7syt	4.4	1960	154	82	0.0418
5u9f	3.2	4727	222	122	0.0258
7of0	2.2	1432	41	6	0.0042
8wi9	3.5	1515	41	24	0.0158
6vmi	2.96	2669	101	46	0.0172
6spf	2.89	4391	422	296	0.0674
6uz7	3.6	5387	465	274	0.0509
6zqc	3.8	2003	118	40	0.02
5myj	5.6	4547	312	222	0.0488
8g6w	2.02	4555	169	86	0.0189
7ryh	2.43	4328	170	116	0.0268
6ahd	3.8	530	46	12	0.0226
6hiw	3.37	621	172	20	0.0322
6wlq	4.7	119	2	0	0.0
6v3d	2.95	3007	156	110	0.0366
6z6k	3.4	5105	216	72	0.0141
6uet	4.1	120	14	8	0.0667
8cku	3.11	5237	287	122	0.0233
7po3	2.92	955	22	18	0.0188
7uin	2.8	578	6	4	0.0069
8b5l	2.86	3890	162	70	0.018
8cgr	2.12	1090	28	14	0.0128
8g7r	2.8	4786	214	120	0.0251
7trf	3.7	224	16	6	0.0268
7p2e	2.4	955	20	18	0.0188
6spc	2.95	1518	254	134	0.0883
6zsb	4.5	2561	97	50	0.0195
7nwt	2.66	4641	159	92	0.0198
6wlt	4.8	231	0	0	0.0
6yt9	2.7	1040	24	8	0.0077
5uym	3.2	4810	194	94	0.0195
8ife	2.57	5713	456	202	0.0354
6y2l	3.0	5693	422	232	0.0408
7msc	2.97	4836	350	258	0.0533
6zqa	4.4	1485	100	38	0.0256
6q9a	3.7	4996	239	142	0.0284
7n1p	2.33	4745	168	74	0.0156
6zmw	3.7	1791	104	52	0.029
6xza	2.66	4616	190	106	0.023
6ues	3.7	119	14	8	0.0672
7wtv	3.5	1574	42	18	0.0114
8fla	2.63	3766	195	74	0.0196
7nww	3.05	4651	145	78	0.0168
8agz	2.6	3642	142	46	0.0126
6og7	3.3	4657	246	154	0.0331
8fkq	2.76	1784	94	46	0.0258
6zqb	3.9	1895	216	138	0.0728
6gz4	3.6	5759	340	166	0.0288
6r84	3.6	3671	210	106	0.0289
6zm7	2.7	5790	340	144	0.0249
8ink	3.2	3766	330	158	0.042
5kpx	3.9	4812	200	102	0.0212
7syv	3.9	2013	134	78	0.0387
7zai	2.6	1596	61	32	0.0201
6ouo	3.7	4642	166	92	0.0198
7bg9	3.8	262	24	12	0.0458
7a09	3.5	1796	124	94	0.0523
8c8x	3.93	2823	140	80	0.0283
7oqe	5.9	734	16	12	0.0163
8iby	3.47	198	14	8	0.0404
8a3d	1.67	3571	166	64	0.0179
8cgn	2.28	5259	249	106	0.0202
7dco	2.5	545	66	34	0.0624
6vzj	4.1	4758	286	166	0.0349
8d2p	2.78	126	8	6	0.0476
7mt3	2.8	4835	377	280	0.0579
6p5i	3.1	5766	443	254	0.0441
7qws	3.4	3768	242	102	0.0271
7p7q	2.4	4625	152	72	0.0156
7old	3.0	5307	358	210	0.0396
8g61	2.94	5778	223	102	0.0177
5xyu	3.45	1379	126	110	0.0798
8ipb	3.4	5204	283	132	0.0254
7of6	2.6	1519	33	10	0.0066
8t2r	3.1	552	12	4	0.0072
7pjz	6.0	4726	206	116	0.0245
6wrs	3.2	2809	298	242	0.0862
5no2	5.16	1534	67	48	0.0313
8cdv	4.73	1258	72	46	0.0366
8fks	2.88	2045	102	54	0.0264
6s05	3.9	3423	322	202	0.059
5g2y	4.5	630	266	216	0.3429
7jss	3.7	4655	226	120	0.0258
7jqb	2.7	1697	71	36	0.0212
7o7y	2.2	5895	280	126	0.0214
6mcc	3.9	116	22	8	0.069
7ods	3.1	1487	45	20	0.0134
6pct	2.8	3015	136	68	0.0226
7d6z	3.4	4761	261	160	0.0336
6dzk	3.6	1511	62	44	0.0291
6v3a	2.82	4615	248	168	0.0364
8bgu	4.1	121	0	0	0.0
6frk	3.7	4266	288	126	0.0295
7aqc	2.99	3077	88	50	0.0162
5mdw	3.06	4638	161	104	0.0224
5xyi	3.35	1490	104	66	0.0443
7pwg	2.75	2722	120	64	0.0235
8ine	3.2	3811	259	122	0.032
8akn	2.3	4552	178	96	0.0211
8g6y	2.09	3036	115	54	0.0178
8ea4	3.0	495	34	22	0.0444
8qcq	2.3	4550	156	90	0.0198
5kcr	3.6	4646	187	108	0.0232
7xd4	3.89	423	22	12	0.0284
8cwo	2.84	1044	34	22	0.0211
7unu	2.9	4605	216	124	0.0269
8oir	3.1	2666	107	50	0.0188
7q0p	2.77	5194	267	134	0.0258
6yef	3.2	4639	367	268	0.0578
7wtm	3.5	1106	26	12	0.0108
7qh6	3.08	1189	85	36	0.0303
6spe	3.6	1526	78	60	0.0393
7ohq	3.1	3397	236	102	0.03
7d80	4.1	4761	642	552	0.1159
6q97	3.9	5051	903	710	0.1406
7uvy	2.39	4447	116	62	0.0139
6pcr	2.5	3015	119	66	0.0219
7boe	2.9	1534	45	26	0.0169
7oqc	4.1	568	8	6	0.0106
8bf8	2.8	111	4	2	0.018
7b7d	3.3	5430	282	130	0.0239
7acj	3.2	4920	389	282	0.0573
6ylg	3.0	3310	190	86	0.026
8cgj	1.79	1161	36	22	0.0189
6y6x	2.8	3993	218	98	0.0245
6sxo	3.3	326	22	14	0.0429
7oi0	2.76	963	26	14	0.0145
7f5s	2.72	3986	253	110	0.0276
8r55	3.57	4715	261	160	0.0339
6olz	3.9	5718	616	364	0.0637
7oib	3.3	1148	37	12	0.0105
8btk	3.5	5887	295	152	0.0258
7d0g	5.0	714	86	64	0.0896
5nd8	3.7	4568	216	114	0.025
6ek0	2.9	5790	443	238	0.0411
6o8x	3.68	4538	235	138	0.0304
5mlc	3.9	2963	134	90	0.0304
6yxy	3.1	879	198	36	0.041
6agb	3.48	369	20	8	0.0217
6swe	3.1	486	42	30	0.0617
5li0	3.8	4572	224	126	0.0276
6x7f	3.5	4759	286	166	0.0349
6gz5	3.5	5759	372	194	0.0337
6yal	3.0	1863	112	36	0.0193
7ohy	3.9	1837	152	84	0.0457
5t6r	4.2	3483	208	106	0.0304
7zah	2.7	1596	59	30	0.0188
6xmf	3.1	109	4	2	0.0183
7nau	3.78	1522	42	18	0.0118
8ghu	3.0	1531	426	296	0.1933
7abf	3.9	152	22	10	0.0658
8y6o	3.38	398	22	8	0.0201
8ipx	4.3	3746	291	124	0.0331
7xam	2.8	3180	126	76	0.0239
8ex9	2.96	136	4	4	0.0294
7n2c	2.72	4721	169	86	0.0182
7oyb	2.4	5035	399	206	0.0409
8jsg	4.6	1539	114	82	0.0533
7afn	3.86	456	14	6	0.0132
7cpj	3.3	4639	212	116	0.025
6zme	3.0	5790	350	156	0.0269
